"sex"	"age"	"edu"	"occ"	"oexp"	"income"
"98"	"m"	22	"low"	"low"	3	1031
"99"	"f"	61	"low"	"med."	41	1109
"100"	"f"	44	"med."	"low"	17	1193
"101"	"m"	36	"high"	"high"	11	1614
"102"	"f"	51	"high"	"high"	22	1632
"103"	"m"	49	"low"	"med."	30	1429
"104"	"m"	44	"high"	"high"	19	2025
"105"	"m"	52	"med."	"high"	30	1571
"106"	"m"	58	"low"	"high"	41	1588
"107"	"m"	51	"low"	"med."	34	1268
"108"	"f"	49	"high"	"high"	19	1533
"109"	"f"	45	"low"	"low"	26	1123
"110"	"m"	25	"med."	"low"	4	1210
"111"	"m"	46	"med."	"high"	27	1716
"112"	"f"	45	"med."	"med."	22	1069
"113"	"m"	36	"med."	"high"	14	1405
"114"	"m"	24	"low"	"low"	5	953
"115"	"m"	45	"med."	"high"	24	1558
"116"	"m"	47	"low"	"med."	28	1181
"117"	"f"	56	"high"	"high"	27	1627
"118"	"f"	60	"low"	"low"	40	1053
"119"	"m"	24	"low"	"low"	5	987
"120"	"f"	30	"med."	"low"	5	1184
"121"	"f"	56	"low"	"med."	32	956
"122"	"m"	57	"med."	"high"	35	1691
"123"	"f"	25	"low"	"low"	3	973
"124"	"f"	32	"high"	"med."	0	1232
"125"	"m"	26	"low"	"low"	8	1232
"126"	"m"	22	"med."	"low"	0	951
"127"	"f"	27	"med."	"low"	3	1137
"128"	"f"	29	"low"	"low"	5	1094
"129"	"f"	27	"med."	"low"	2	954
"130"	"m"	50	"high"	"high"	25	1565
"131"	"f"	51	"low"	"low"	28	925
"132"	"f"	53	"low"	"low"	29	964
"133"	"m"	52	"low"	"low"	34	1509
"134"	"m"	45	"med."	"med."	23	1606
"135"	"f"	60	"low"	"low"	38	1094
"136"	"m"	62	"low"	"high"	45	1523
"137"	"m"	58	"med."	"high"	37	1738
"138"	"m"	56	"low"	"med."	40	1179
"139"	"m"	40	"low"	"low"	21	1014
"140"	"m"	48	"high"	"high"	23	1674
"141"	"m"	22	"low"	"low"	3	1294
"142"	"f"	27	"med."	"med."	2	1280
"143"	"m"	24	"med."	"low"	1	1119
"144"	"f"	57	"high"	"high"	29	1781
"145"	"m"	23	"low"	"low"	5	1188
"146"	"m"	62	"med."	"high"	41	1568
"147"	"f"	41	"low"	"med."	15	1103
"148"	"m"	44	"high"	"high"	20	1787
"149"	"f"	53	"high"	"high"	23	1498
"150"	"f"	63	"low"	"low"	42	1123
"151"	"m"	55	"high"	"high"	28	1975
"152"	"m"	49	"high"	"high"	24	1795
"153"	"f"	59	"med."	"high"	34	1483
"154"	"f"	42	"med."	"med."	23	1196
"155"	"m"	47	"low"	"med."	29	1198
"156"	"m"	50	"low"	"low"	31	1353
"157"	"m"	42	"med."	"med."	21	1593
"158"	"f"	21	"low"	"low"	3	1075
"159"	"f"	48	"low"	"med."	26	1212
"160"	"m"	46	"high"	"high"	22	1824
"161"	"m"	35	"low"	"low"	16	1074
"162"	"m"	30	"low"	"med."	14	1005
"163"	"m"	57	"low"	"high"	37	1566
"164"	"f"	52	"high"	"high"	22	1510
"165"	"m"	60	"med."	"high"	40	1531
"166"	"m"	39	"low"	"med."	22	1425
"167"	"f"	55	"low"	"low"	36	1177
"168"	"m"	46	"low"	"med."	29	1513
"169"	"m"	61	"low"	"med."	43	1403
"170"	"m"	32	"low"	"med."	14	1478
"171"	"f"	25	"low"	"low"	6	843
"172"	"f"	29	"med."	"med."	2	985
"173"	"m"	34	"med."	"med."	12	1294
"174"	"f"	57	"low"	"low"	36	1104
"175"	"f"	62	"med."	"med."	37	1170
"176"	"f"	37	"high"	"med."	6	1285
"177"	"f"	29	"low"	"low"	7	1070
"178"	"m"	49	"low"	"low"	30	1176
"179"	"m"	35	"high"	"med."	10	1449
"180"	"m"	56	"low"	"high"	38	1363
"181"	"f"	44	"med."	"high"	18	1508
"182"	"m"	25	"low"	"low"	6	1004
"183"	"f"	47	"low"	"med."	21	1213
"184"	"f"	23	"med."	"med."	0	1062
"185"	"m"	39	"low"	"med."	21	1143
"186"	"f"	57	"med."	"high"	30	1258
"187"	"m"	52	"med."	"high"	31	1673
"188"	"f"	30	"low"	"low"	9	1091
"189"	"f"	28	"med."	"med."	0	1094
"190"	"m"	47	"low"	"low"	28	1198
"191"	"f"	36	"low"	"low"	15	881
"192"	"f"	39	"low"	"low"	16	996
"193"	"f"	57	"med."	"med."	33	1227
"194"	"m"	54	"med."	"high"	33	1518
"195"	"m"	45	"low"	"low"	29	1159
"196"	"m"	48	"med."	"high"	27	1724
"197"	"m"	50	"med."	"med."	28	1694
"198"	"f"	44	"med."	"med."	21	1232
"199"	"m"	57	"high"	"high"	32	1875
"200"	"m"	42	"med."	"high"	22	1443
"201"	"m"	19	"low"	"low"	2	979
"202"	"m"	41	"low"	"low"	23	1277
"203"	"f"	51	"high"	"high"	23	1633
"204"	"f"	36	"med."	"low"	12	1064
"205"	"f"	23	"med."	"med."	1	1010
"206"	"m"	59	"low"	"high"	41	1612
"207"	"m"	49	"med."	"med."	27	1629
"208"	"m"	48	"low"	"med."	30	1238
"209"	"f"	64	"low"	"med."	40	1124
"210"	"m"	48	"low"	"high"	31	1651
"211"	"m"	48	"low"	"med."	30	1329
"212"	"m"	43	"med."	"med."	21	1426
"213"	"f"	33	"high"	"med."	9	1455
"214"	"m"	56	"high"	"high"	32	1983
"215"	"f"	23	"med."	"med."	0	1069
"216"	"m"	54	"low"	"med."	34	1111
"217"	"m"	40	"low"	"med."	23	1449
"218"	"f"	34	"med."	"low"	8	1063
"219"	"m"	52	"high"	"high"	25	1685
"220"	"f"	28	"med."	"med."	5	977
"221"	"m"	33	"low"	"low"	16	1129
"222"	"f"	27	"low"	"med."	6	1157
"223"	"f"	44	"med."	"low"	17	1190
"224"	"m"	59	"low"	"med."	42	1399
"225"	"f"	37	"high"	"high"	11	1513
"226"	"m"	52	"low"	"med."	34	1479
"227"	"f"	64	"low"	"med."	47	1139
"228"	"f"	48	"low"	"low"	24	758
"229"	"f"	49	"high"	"high"	22	1534
"230"	"m"	62	"high"	"high"	37	1819
"231"	"f"	42	"low"	"low"	22	918
"232"	"m"	22	"high"	"high"	0	1608
"233"	"m"	43	"low"	"low"	25	1205
"234"	"m"	37	"low"	"med."	20	1299
"235"	"m"	53	"low"	"high"	36	1246
"236"	"m"	45	"low"	"med."	26	1325
"237"	"m"	64	"high"	"high"	38	1622
"238"	"m"	49	"high"	"high"	25	1827
"239"	"m"	34	"low"	"med."	18	1309
"240"	"f"	27	"low"	"low"	5	1015
"241"	"m"	50	"low"	"med."	34	1520
"242"	"f"	40	"med."	"med."	17	1114
"243"	"m"	46	"low"	"med."	28	1426
"244"	"m"	45	"med."	"med."	24	1324
"245"	"m"	57	"low"	"med."	41	1495
"246"	"m"	37	"med."	"med."	17	1345
"247"	"f"	65	"low"	"med."	43	946
"248"	"f"	29	"low"	"low"	7	782
"249"	"m"	47	"med."	"med."	26	1468
"250"	"m"	39	"med."	"med."	17	1229
"251"	"m"	36	"high"	"high"	13	1598
"252"	"m"	32	"med."	"high"	11	1483
"253"	"f"	28	"med."	"med."	2	1376
"254"	"f"	41	"low"	"low"	19	1014
"255"	"f"	41	"low"	"med."	18	1108
"256"	"m"	31	"high"	"med."	7	1343
"257"	"f"	58	"low"	"low"	35	970
"258"	"m"	61	"med."	"high"	42	1629
"259"	"f"	32	"low"	"low"	9	1091
"260"	"f"	49	"med."	"med."	24	1387
"261"	"f"	35	"med."	"med."	11	1017
"262"	"m"	56	"high"	"high"	31	2033
"263"	"m"	33	"high"	"high"	8	1540
"264"	"f"	56	"high"	"high"	31	1608
"265"	"m"	52	"low"	"low"	34	1179
"266"	"f"	25	"low"	"low"	6	887
"267"	"f"	44	"low"	"low"	26	1119
"268"	"m"	46	"low"	"med."	26	1535
"269"	"f"	25	"low"	"low"	3	853
"270"	"m"	32	"med."	"med."	11	1162
"271"	"f"	33	"low"	"low"	9	1197
"272"	"f"	59	"low"	"low"	35	1126
"273"	"m"	59	"high"	"high"	35	1780
"274"	"m"	25	"low"	"low"	8	1060
"275"	"m"	40	"low"	"low"	21	1313
"276"	"m"	41	"high"	"high"	15	1515
"277"	"m"	65	"med."	"high"	43	1682
"278"	"f"	44	"med."	"low"	19	1093
"279"	"m"	29	"high"	"high"	4	1624
"280"	"m"	21	"high"	"med."	0	1065
"281"	"f"	29	"low"	"low"	8	1073
"283"	"m"	33	"high"	"med."	6	1418
"284"	"f"	31	"low"	"low"	9	990
"285"	"m"	50	"med."	"high"	27	1708
"286"	"f"	48	"low"	"low"	23	879
"287"	"m"	36	"high"	"high"	12	1602
"288"	"m"	29	"med."	"med."	6	1111
"289"	"m"	29	"med."	"low"	7	1104
"290"	"m"	64	"med."	"high"	43	1747
"291"	"f"	52	"high"	"high"	20	1448
"292"	"m"	43	"low"	"med."	26	1409
"293"	"f"	41	"high"	"high"	14	1453
"294"	"m"	37	"med."	"high"	14	1400
"295"	"f"	33	"high"	"med."	5	1133
"296"	"m"	36	"low"	"med."	19	1358
"297"	"f"	35	"low"	"low"	15	1009
"298"	"m"	50	"low"	"med."	32	1314
"299"	"m"	61	"med."	"high"	40	1714
"300"	"f"	58	"low"	"med."	36	1196
"301"	"f"	20	"med."	"med."	0	1033
"302"	"m"	27	"med."	"low"	7	1276
"303"	"m"	47	"low"	"med."	29	1327
"304"	"f"	37	"med."	"med."	12	1235
"305"	"m"	41	"med."	"med."	19	1343
"306"	"f"	41	"low"	"low"	18	1090
"307"	"m"	29	"med."	"med."	6	1229
"308"	"m"	54	"low"	"med."	36	1309
"309"	"m"	59	"med."	"high"	38	1725
"310"	"m"	59	"med."	"high"	39	1900
"311"	"f"	45	"med."	"med."	17	1184
"312"	"m"	40	"low"	"low"	21	1284
"313"	"f"	23	"med."	"low"	0	1104
"314"	"f"	22	"low"	"low"	6	1073
"315"	"m"	56	"high"	"high"	33	1982
"316"	"f"	36	"high"	"high"	9	1429
"317"	"m"	25	"low"	"med."	7	1006
"318"	"m"	40	"med."	"med."	22	1427
"319"	"f"	57	"low"	"low"	33	986
"320"	"f"	36	"med."	"med."	12	1165
"321"	"f"	54	"med."	"high"	25	1405
"322"	"m"	25	"low"	"low"	8	1182
"323"	"m"	59	"high"	"high"	34	1756
"324"	"m"	32	"high"	"med."	6	1266
"325"	"m"	23	"low"	"med."	5	1121
"326"	"m"	30	"low"	"med."	12	1028
"327"	"m"	26	"high"	"high"	0	1616
"328"	"m"	58	"low"	"high"	41	1511
"329"	"f"	39	"low"	"med."	18	1016
"330"	"m"	27	"med."	"low"	6	1123
"331"	"f"	40	"high"	"high"	10	1407
"332"	"f"	62	"med."	"med."	38	1240
"333"	"f"	54	"low"	"low"	31	952
"334"	"f"	27	"low"	"low"	4	804
"335"	"m"	44	"med."	"med."	23	1199
"336"	"m"	62	"med."	"high"	40	1722
"337"	"m"	18	"med."	"med."	0	1303
"338"	"f"	22	"med."	"low"	0	1205
"339"	"f"	32	"med."	"high"	7	1109
"340"	"f"	60	"low"	"low"	36	1273
"341"	"m"	40	"low"	"med."	24	1464
"342"	"m"	50	"low"	"med."	32	1228
"343"	"f"	46	"high"	"med."	16	1263
"344"	"f"	32	"high"	"med."	5	1107
"345"	"f"	42	"med."	"med."	18	1411
"346"	"m"	35	"low"	"low"	16	1384
"347"	"m"	36	"high"	"high"	10	1476
"348"	"m"	59	"low"	"high"	41	1449
"349"	"m"	44	"med."	"low"	23	1389
"350"	"f"	29	"low"	"low"	3	951
"351"	"f"	43	"high"	"high"	16	1665
"352"	"m"	42	"med."	"med."	20	1365
"353"	"m"	59	"low"	"high"	41	1654
"354"	"f"	19	"high"	"high"	0	1517
"355"	"m"	53	"med."	"high"	32	1629
"356"	"m"	57	"low"	"high"	40	1567
"357"	"m"	44	"med."	"med."	22	1418
"358"	"m"	31	"med."	"med."	12	1399
"359"	"m"	44	"high"	"high"	18	1738
"360"	"m"	56	"med."	"high"	35	1711
"361"	"f"	47	"med."	"med."	20	1200
"362"	"f"	56	"med."	"med."	31	1235
"363"	"m"	51	"med."	"high"	29	1591
"364"	"m"	38	"low"	"high"	20	1664
"365"	"m"	54	"low"	"high"	36	1478
"366"	"m"	42	"low"	"med."	23	1400
"367"	"m"	36	"high"	"high"	10	1698
"368"	"m"	43	"med."	"high"	21	1561
"369"	"m"	36	"med."	"med."	15	1555
"370"	"m"	58	"med."	"high"	37	1802
"371"	"f"	41	"high"	"med."	11	1415
"372"	"m"	35	"low"	"med."	16	1298
"373"	"m"	40	"med."	"high"	19	1428
"374"	"m"	26	"med."	"low"	4	1234
"375"	"f"	47	"med."	"med."	23	1372
"376"	"f"	31	"med."	"low"	7	1157
"377"	"f"	58	"high"	"high"	28	1563
"378"	"m"	39	"low"	"low"	20	1137
"379"	"m"	42	"low"	"med."	23	1167
"380"	"f"	46	"low"	"low"	20	812
"381"	"m"	50	"med."	"high"	28	1262
"382"	"m"	28	"med."	"low"	8	1251
"383"	"f"	47	"med."	"med."	23	1224
"384"	"m"	42	"med."	"med."	20	1426
"385"	"m"	55	"med."	"med."	34	1421
"386"	"m"	23	"med."	"med."	2	1181
"387"	"m"	26	"low"	"low"	9	1104
"388"	"m"	52	"low"	"low"	32	1203
"389"	"f"	40	"high"	"high"	13	1469
"390"	"f"	33	"low"	"low"	9	855
"391"	"m"	27	"high"	"high"	2	1645
"392"	"f"	27	"high"	"high"	2	1399
"393"	"m"	45	"high"	"high"	21	1760
"394"	"m"	57	"low"	"med."	39	1446
"395"	"m"	42	"med."	"high"	21	1296
"396"	"m"	59	"low"	"high"	42	1544
"397"	"f"	37	"med."	"med."	8	842
"398"	"m"	54	"med."	"high"	31	1628
"399"	"f"	44	"low"	"low"	22	1146
"400"	"m"	21	"low"	"low"	2	863
"401"	"f"	63	"med."	"med."	33	1337
"402"	"m"	48	"med."	"med."	26	1334
"403"	"m"	41	"med."	"high"	21	1608
"404"	"f"	23	"low"	"low"	4	885
"405"	"f"	33	"high"	"med."	2	1173
"406"	"f"	54	"med."	"low"	26	1300
"407"	"m"	36	"med."	"med."	15	1667
"408"	"f"	27	"high"	"med."	0	1161
"409"	"f"	49	"high"	"high"	23	1626
"410"	"m"	49	"low"	"med."	31	1145
"411"	"f"	49	"med."	"med."	28	1320
"412"	"f"	60	"low"	"med."	39	1198
"413"	"f"	49	"low"	"low"	28	1024
"414"	"f"	62	"med."	"high"	38	1471
"415"	"f"	44	"low"	"low"	23	1039
"416"	"m"	63	"low"	"high"	45	1499
"417"	"f"	58	"med."	"med."	33	1315
"418"	"f"	64	"med."	"med."	38	1397
"419"	"m"	36	"low"	"low"	16	1234
"420"	"f"	55	"med."	"high"	31	1379
"421"	"f"	63	"low"	"med."	43	1155
"422"	"f"	53	"low"	"low"	34	843
"423"	"m"	37	"high"	"high"	10	1693
"424"	"f"	44	"low"	"low"	20	1209
"425"	"f"	59	"high"	"high"	30	1839
"426"	"m"	29	"low"	"low"	10	1189
"427"	"m"	57	"med."	"high"	37	1570
"428"	"f"	23	"high"	"high"	0	1472
"429"	"f"	26	"low"	"low"	2	942
"430"	"m"	50	"low"	"med."	32	1416
"431"	"m"	47	"med."	"med."	26	1626
"432"	"m"	25	"high"	"high"	3	1527
"433"	"f"	42	"low"	"med."	22	1373
"434"	"m"	33	"med."	"med."	11	1160
"435"	"m"	29	"high"	"high"	5	1476
"436"	"f"	26	"low"	"low"	4	888
"437"	"m"	35	"med."	"med."	15	1297
"438"	"f"	39	"low"	"low"	16	1029
"439"	"f"	52	"low"	"low"	26	1004
"440"	"m"	38	"med."	"high"	17	1460
"441"	"m"	47	"low"	"med."	31	1206
"442"	"m"	23	"low"	"low"	5	1119
"443"	"f"	31	"low"	"low"	5	977
"444"	"m"	26	"med."	"med."	5	1318
"445"	"m"	30	"low"	"med."	11	1096
"446"	"m"	50	"med."	"med."	28	1742
"447"	"m"	58	"med."	"high"	38	1506
"448"	"m"	55	"med."	"high"	34	1766
"449"	"m"	21	"low"	"low"	3	1365
"450"	"f"	34	"low"	"low"	9	1109
"451"	"m"	55	"high"	"high"	29	1914
"452"	"m"	45	"high"	"high"	19	1666
"453"	"f"	43	"med."	"med."	17	1336
"454"	"m"	48	"med."	"high"	26	1771
"455"	"f"	55	"low"	"low"	29	1304
"456"	"f"	32	"low"	"low"	11	1017
"457"	"f"	38	"med."	"med."	12	1269
"458"	"m"	30	"high"	"med."	4	1284
"459"	"m"	59	"med."	"high"	38	1508
"460"	"f"	44	"low"	"low"	24	1197
"461"	"f"	33	"high"	"high"	9	1528
"462"	"m"	42	"low"	"med."	24	1290
"463"	"m"	61	"low"	"high"	44	1749
"464"	"m"	24	"med."	"low"	1	941
"465"	"m"	52	"high"	"high"	28	1532
"466"	"m"	37	"low"	"med."	19	1397
"467"	"f"	26	"med."	"low"	6	1070
"468"	"m"	43	"high"	"high"	17	1879
"469"	"f"	59	"high"	"high"	33	1727
"470"	"m"	27	"med."	"med."	5	1119
"471"	"f"	19	"low"	"med."	0	955
"472"	"f"	26	"high"	"high"	0	1384
"473"	"f"	58	"low"	"low"	36	1226
"474"	"f"	18	"high"	"high"	0	1308
"475"	"f"	54	"low"	"low"	32	1163
"476"	"f"	39	"med."	"med."	13	1130
"477"	"f"	39	"low"	"low"	12	1017
"478"	"m"	41	"high"	"high"	16	1702
"479"	"f"	30	"low"	"low"	6	994
"480"	"m"	51	"med."	"high"	30	1425
"481"	"f"	19	"high"	"high"	0	1306
"482"	"m"	65	"low"	"high"	47	1532
"483"	"m"	57	"med."	"high"	38	1825
"484"	"m"	53	"med."	"high"	31	1625
"485"	"m"	48	"med."	"med."	26	1537
"486"	"f"	22	"high"	"high"	0	1559
"487"	"m"	26	"high"	"high"	0	1361
"488"	"m"	62	"low"	"high"	44	1631
"489"	"f"	46	"low"	"low"	21	1041
"490"	"f"	57	"low"	"med."	33	1145
"491"	"f"	34	"med."	"low"	6	1128
"492"	"f"	24	"med."	"low"	0	948
"493"	"m"	42	"med."	"high"	20	1262
"494"	"f"	58	"high"	"high"	24	1470
"495"	"m"	41	"low"	"med."	23	1129
"496"	"m"	22	"med."	"med."	0	1316
"497"	"m"	60	"med."	"med."	39	1342
"498"	"f"	47	"med."	"med."	18	1290
"499"	"m"	31	"low"	"low"	13	1103
"500"	"f"	26	"med."	"low"	3	1171
"501"	"m"	56	"low"	"med."	38	1460
"502"	"f"	42	"high"	"high"	10	1534
"503"	"m"	35	"low"	"low"	17	1381
"504"	"f"	38	"low"	"low"	15	1028
"505"	"m"	33	"med."	"med."	12	1597
"506"	"m"	35	"med."	"med."	14	1351
"507"	"m"	60	"low"	"high"	42	1528
"508"	"f"	42	"low"	"med."	16	945
"509"	"m"	63	"high"	"high"	37	1693
"510"	"m"	35	"high"	"med."	10	1387
"511"	"f"	26	"med."	"med."	0	1112
"512"	"f"	45	"low"	"med."	20	989
"513"	"f"	34	"low"	"low"	10	819
"514"	"m"	65	"high"	"high"	39	1851
"515"	"m"	33	"low"	"low"	15	1103
"516"	"m"	45	"low"	"med."	27	1275
"517"	"m"	52	"med."	"high"	32	1513
"518"	"f"	45	"low"	"low"	25	993
"519"	"f"	52	"low"	"low"	35	1130
"520"	"m"	58	"low"	"high"	41	1539
"521"	"m"	39	"high"	"med."	14	1506
"522"	"f"	63	"low"	"low"	42	1083
"523"	"f"	38	"low"	"low"	17	1028
"524"	"f"	56	"low"	"med."	32	1315
"525"	"m"	47	"med."	"med."	26	1504
"526"	"f"	37	"low"	"low"	12	1112
"527"	"f"	51	"low"	"low"	27	1114
"528"	"m"	48	"high"	"high"	23	1507
"529"	"m"	59	"med."	"high"	36	1426
"530"	"m"	53	"low"	"high"	35	1398
"531"	"f"	53	"med."	"med."	26	1240
"532"	"m"	24	"low"	"low"	5	1099
"533"	"m"	39	"low"	"med."	23	1411
"534"	"m"	52	"low"	"high"	34	1485
"535"	"m"	49	"med."	"high"	28	1469
"536"	"m"	34	"low"	"low"	14	1347
"537"	"m"	39	"high"	"high"	14	1769
"538"	"f"	54	"med."	"med."	30	1237
"539"	"m"	58	"low"	"high"	42	1529
"540"	"f"	48	"low"	"low"	24	1049
"541"	"f"	27	"med."	"med."	5	1194
"542"	"f"	58	"high"	"high"	27	1617
"543"	"m"	27	"high"	"med."	0	1191
"544"	"f"	63	"high"	"high"	36	1501
"545"	"m"	61	"low"	"med."	44	1572
"546"	"m"	53	"med."	"high"	31	1619
"547"	"m"	28	"med."	"low"	7	1235
"548"	"m"	52	"low"	"high"	34	1504
"549"	"f"	31	"high"	"med."	6	1088
"550"	"m"	39	"med."	"high"	18	1532
"551"	"m"	60	"low"	"med."	43	1361
"552"	"m"	39	"med."	"high"	20	1696
"553"	"f"	58	"low"	"low"	38	1221
"554"	"f"	42	"high"	"high"	14	1423
"555"	"f"	18	"low"	"low"	0	896
"556"	"m"	37	"med."	"high"	15	1275
"557"	"f"	37	"low"	"low"	16	1026
"558"	"f"	29	"low"	"low"	9	962
"559"	"f"	51	"low"	"low"	25	918
"560"	"f"	40	"low"	"low"	22	825
"561"	"m"	33	"med."	"low"	12	1222
"562"	"m"	51	"low"	"med."	33	1497
"563"	"m"	52	"high"	"high"	30	1910
"564"	"f"	30	"high"	"med."	3	1353
"565"	"f"	47	"high"	"high"	15	1636
"566"	"m"	47	"med."	"high"	26	1420
"567"	"m"	47	"med."	"high"	26	1592
"568"	"f"	56	"low"	"low"	34	1374
"569"	"m"	40	"med."	"med."	20	1536
"570"	"m"	49	"low"	"med."	31	1482
"571"	"m"	18	"low"	"low"	0	1020
"572"	"f"	30	"high"	"high"	0	1508
"573"	"m"	46	"low"	"low"	29	1320
"574"	"m"	25	"high"	"high"	2	1813
"575"	"m"	29	"med."	"med."	9	1446
"576"	"m"	36	"high"	"med."	12	1399
"577"	"m"	24	"low"	"low"	5	1053
"578"	"m"	33	"high"	"high"	8	1570
"579"	"f"	60	"high"	"high"	33	1783
"580"	"f"	35	"low"	"low"	17	1276
"581"	"m"	20	"med."	"med."	0	1164
"582"	"m"	31	"med."	"med."	8	1340
"583"	"m"	46	"low"	"high"	30	1699
"584"	"m"	32	"low"	"med."	15	1354
"585"	"m"	43	"low"	"med."	23	1420
"586"	"f"	20	"low"	"low"	0	858
"587"	"m"	20	"med."	"med."	0	1152
"588"	"m"	32	"low"	"low"	13	1043
"589"	"m"	40	"low"	"low"	23	1215
"590"	"m"	60	"low"	"med."	43	1311
"591"	"m"	60	"high"	"high"	36	1690
"592"	"f"	41	"med."	"med."	16	1246
"593"	"f"	32	"low"	"low"	11	994
"594"	"m"	55	"low"	"med."	36	1403
"595"	"f"	30	"low"	"low"	6	939
"596"	"m"	27	"low"	"low"	9	1260
"597"	"f"	39	"low"	"low"	18	842
"598"	"f"	53	"med."	"med."	31	1253
"599"	"m"	59	"high"	"high"	35	1851
"600"	"m"	43	"med."	"high"	21	1752
"601"	"m"	46	"med."	"low"	24	1423
"602"	"m"	30	"low"	"low"	9	1202
"603"	"m"	41	"low"	"med."	24	1434
"604"	"m"	32	"low"	"low"	13	1222
"605"	"f"	62	"low"	"low"	42	1063
"606"	"f"	43	"low"	"low"	22	992
"608"	"f"	31	"high"	"med."	3	1368
"609"	"m"	49	"low"	"low"	31	1586
"610"	"f"	38	"high"	"high"	7	1512
"611"	"m"	20	"med."	"med."	0	1198
